grievance_text,category,priority
Uneven pavement is making it difficult for vehicles to travel safely. Residents have requested prompt action.,ROAD,MEDIUM
Waste collection is irregular in our neighborhood. People in the locality are requesting a solution.,WASTE,MEDIUM
I need an update about a pending government application. The issue has been reported by local residents.,GOVERNMENT_SERVICES,MEDIUM
Several families are living in unsafe residential buildings.,HOUSING,HIGH
The asphalt surface of the main road is badly damaged. Residents have requested prompt action.,ROAD,HIGH
The streetlight pole near the junction is not illuminated.,STREETLIGHT,LOW
The community needs improved security and protection in the public area. Please arrange the necessary civic action.,PUBLIC_SAFETY,HIGH
The power connection has been interrupted several times. Please arrange the necessary civic action.,ELECTRICITY,HIGH
The government office has not processed my submitted application.,GOVERNMENT_SERVICES,LOW
Our government housing unit has serious structural damage. Residents have requested prompt action.,HOUSING,CRITICAL
The neighborhood park requires landscaping and repairs. The issue has been reported by local residents.,PARKS,MEDIUM
A housing unit has serious damage to its roof and walls.,HOUSING,HIGH
People are worried about their personal safety at the isolated location.,PUBLIC_SAFETY,CRITICAL
The garbage collection schedule is not being followed. Please arrange the necessary civic action.,WASTE,LOW
Water pressure is very low on our residential street. Residents have requested prompt action.,WATER,MEDIUM
Teachers and students need better facilities for classroom learning. Residents have requested prompt action.,EDUCATION,MEDIUM
The local bus service is insufficient for daily commuters. People in the locality are requesting a solution.,PUBLIC_TRANSPORT,HIGH
The department has delayed my application without an explanation. People in the locality are requesting a solution.,GOVERNMENT_SERVICES,LOW
I am unable to get a response about my government service request. People in the locality are requesting a solution.,GOVERNMENT_SERVICES,MEDIUM
The tap water service is unreliable in our neighborhood. People in the locality are requesting a solution.,WATER,MEDIUM
The neighborhood park requires landscaping and repairs. The issue has been reported by local residents.,PARKS,MEDIUM
The road needs resurfacing because the asphalt has worn away.,ROAD,HIGH
The road remains dark because the street lights are off. People in the locality are requesting a solution.,STREETLIGHT,MEDIUM
The streetlight pole near the junction is not illuminated.,STREETLIGHT,LOW
There is no wheelchair ramp at the entrance of the public building.,DISABILITY_ACCESS,HIGH
I need assistance with a pending government service request. Please arrange the necessary civic action.,GOVERNMENT_SERVICES,MEDIUM
Our area needs additional city buses during peak hours. Residents have requested prompt action.,PUBLIC_TRANSPORT,MEDIUM
The government service counter has not resolved my request. Please arrange the necessary civic action.,GOVERNMENT_SERVICES,LOW
Students do not have adequate facilities in the public school. The issue has been reported by local residents.,EDUCATION,LOW
A disabled-access entrance is missing at the government office. People in the locality are requesting a solution.,DISABILITY_ACCESS,HIGH
Residents need assistance with an increasing stray animal population. Residents have requested prompt action.,ANIMAL_CONTROL,MEDIUM
The community toilet requires cleaning and regular maintenance. Residents have requested prompt action.,PUBLIC_TOILETS,LOW
There is inadequate bus service between our neighborhood and the town. People in the locality are requesting a solution.,PUBLIC_TRANSPORT,MEDIUM
Broken pavement is causing difficulty for cars and two-wheelers. Please arrange the necessary civic action.,ROAD,HIGH
The local park has broken children's play equipment.,PARKS,LOW
Families are not receiving their scheduled water supply. Residents have requested prompt action.,WATER,HIGH
The school laboratory and library require educational infrastructure improvements. People in the locality are requesting a solution.,EDUCATION,LOW
A clogged drain is causing water to collect on the street. The issue has been reported by local residents.,DRAINAGE,MEDIUM
Students do not have adequate facilities in the public school. Residents have requested prompt action.,EDUCATION,LOW
A damaged streetlight needs to be repaired. The issue has been reported by local residents.,STREETLIGHT,LOW
The local intersection needs improved traffic control. Please arrange the necessary civic action.,TRAFFIC,MEDIUM
Multiple street lamps have stopped working after dark. Residents have requested prompt action.,STREETLIGHT,MEDIUM
The main street has damaged asphalt and requires road maintenance. The issue has been reported by local residents.,ROAD,MEDIUM
Uneven pavement is making it difficult for vehicles to travel safely. Residents have requested prompt action.,ROAD,MEDIUM
Residents need assistance with an increasing stray animal population. Residents have requested prompt action.,ANIMAL_CONTROL,MEDIUM
Waste bins are overflowing because collection has not occurred. People in the locality are requesting a solution.,WASTE,LOW
The road needs resurfacing because the asphalt has worn away.,ROAD,HIGH
A stray animal issue has been reported by residents. The issue has been reported by local residents.,ANIMAL_CONTROL,MEDIUM
Residents feel unsafe in the public area because there is no security.,PUBLIC_SAFETY,HIGH
Environmental pollution is affecting the community. The issue has been reported by local residents.,ENVIRONMENT,HIGH
The local lake is being polluted by improper dumping. Residents have requested prompt action.,ENVIRONMENT,HIGH
The open drain is overflowing after rainfall. People in the locality are requesting a solution.,DRAINAGE,MEDIUM
Please review this general civic request and direct it to the appropriate office. Please arrange the necessary civic action.,OTHER,LOW
The scheduled city bus service is not operating regularly. Please arrange the necessary civic action.,PUBLIC_TRANSPORT,HIGH
The neighborhood needs action to protect the local environment. Please arrange the necessary civic action.,ENVIRONMENT,HIGH
The school laboratory and library require educational infrastructure improvements. The issue has been reported by local residents.,EDUCATION,LOW
The health centre lacks essential patient services. Please arrange the necessary civic action.,HEALTHCARE,HIGH
A stray animal issue has been reported by residents. The issue has been reported by local residents.,ANIMAL_CONTROL,MEDIUM
Industrial activity is causing pollution in the surrounding area.,ENVIRONMENT,HIGH
Stray dogs are causing problems near the residential buildings.,ANIMAL_CONTROL,MEDIUM
The intersection needs better traffic management. The issue has been reported by local residents.,TRAFFIC,MEDIUM
Environmental pollution is affecting the community. The issue has been reported by local residents.,ENVIRONMENT,HIGH
Multiple street lamps have stopped working after dark. Residents have requested prompt action.,STREETLIGHT,MEDIUM
The local lake is being polluted by improper dumping. Residents have requested prompt action.,ENVIRONMENT,HIGH
I need assistance with a local civic matter that does not match the available categories.,OTHER,LOW
The housing block requires structural repairs and safer accommodation. Please arrange the necessary civic action.,HOUSING,HIGH
